Mien,Part of Speech,English,French,Thai,,Lao,,Vietnamese,Chinese,Mandarin,Cantonese,Note (English),Note (French),Note (Thai),Note (Lao),Note (Vietnamese),Note (Chinese),Example,Usage,Origin,Audio
nzutv zunv,verb,to shorten,raccourcir,ทำให้สั้นลง,,ເຮັດໃຫ້ສັ້ນລົງ,,làm ngắn lại,弄短/缩短,nòng duǎn/suō duǎn,lung6 dyun2/suk1 dyun2,,,,,,,,,,
nzutv-norz gorngv,verb,to abbreviate,abréger,ย่อ,,ຫຍໍ້,,rút gọn,缩写,suōxiě,suk1 se2,,,,,,,,,,
nzutv-norz gorngv,verb,to summarize,résumer,สรุป,,ສະຫຼຸບ,,tóm tắt,总结,zǒngjié,zung2 git3,,,,,,,,,,
o,particle,used to indicate realization by speaker of something he or she has temporarily overlooked,utilisé pour indiquer les émotions,ใช้แสดงอารมณ์ทั่วไป,,ໃຊ້ສະແດງອາລົມທົ່ວໄປ,,dùng để chỉ các cảm xúc,用於表示各種情感,yòng yú biǎo shì gè zhǒng qíng gǎn,jung6 jyu1 biu2 si6 gok3 zung2 cing4 gam2,,,,,,,,,,
o,interjection,uh-huh,oui-hum,อืม,,ອືມ,,ừ ừ,嗯,èn,ng4,,,,,,,,,,
o,noun,o,o,โอ,,ໂອ,,ô,哦,ó,o2,Attempt by the speaker either to make a statement considered important or to prompt the hearer to recall something the speaker believes may have been overlooked.,Tentative du locuteur soit de faire une déclaration considérée...,ความพยายามของผู้พูดที่จะกล่าวข้อความที่พิจารณาว่า...,ຄວາມພະຍາຍາມຂອງຜູ້ເວົ້າທີ່ຈະກ່າວຂໍ້ຄວາມທີ່ພິຈາລະນາວວ່າ...,Nỗ lực của người nói nhằm đưa ra một tuyên bố được xem là...,说话者试图发表被认为...的陈述,,,,
oc,particle,"used to indicate range of general emphasis, from statement of intent to polite urging in invitation",utilisé pour indiquer la douleur,ใช้แสดงความเจ็บปวด,,ໃຊ້ສະແດງຄວາມເຈັບປວດ,,dùng để chỉ sự đau đớn,用於表示痛苦驚訝,yòng yú biǎo shì tòng kǔ jīng yà,jung6 jyu1 biu2 si6 tung3 fu2 ging1 ngaa6,,,,,,,,,,
oeiqc,interjection,hey,hé,เฮ้,,ເຮ້,,này,嘿,hēi,hei1,,,,,,,,,,
oeix,noun,vocalism or padding syllable used in singing some types of traditional vocal expression,vocalise (syllabe de remplissage),พยางค์เสริมในบทขับร้อง,,ພະຍາງຄ໌ເສີມໃນການຮ້ອງ,,âm đệm khi hát,衬音,chènyīn,can3 jam1,,,,,,,,,,
oeix,verb,to sing,chanter,ร้องเพลง,,ຮ້ອງເພງ,,hát,唱,chàng,coeng3,,,,,,,,Baby,,
oeix,interjection,yes,oui,ใช่,,ແມ່ນ,,vâng,是,shì,si6,,,,,,,,,,
oeix baih,verb,to sing song,chanter une chanson,ร้องเพลง,,ຮ້ອງເພງ,,hát bài hát,唱歌,chàng gē,coeng3 go1,,,,,,,,,,
oh,particle,used to respond after having realized or having been reminded of something,utilisé pour donner un ordre,ใช้เพื่อออกคำสั่ง,,ໃຊ້ເພື່ອອອກຄຳສັ່ງ,,dùng để đưa ra mệnh lệnh,用於下達命令,yòng yú xià dá mìng lìng,jung6 jyu1 haa6 daat6 ming6 ling6,,,,,,,,,,
oh,particle,oh,oh,โอ้,,ໂອ້,,ôi,哦,ó,o4,Used to indicate emphasis implying that something cannot or should not be done because of negative consequence.,Utilisé pour insister qu’une chose ne doit pas être faite à cause de conséquences négatives.,ใช้เน้นว่าสิ่งนั้นไม่ควรทำเพราะผลเสีย,ໃຊ້ເນັ້ນວ່າບໍ່ຄວນເຮັດເນື່ອງຈາກຜົນເສຍ,dùng để nhấn mạnh không nên làm vì hậu quả xấu,用于强调因负面后果而不应做,Maiv dungx zoux oh!: Don't do it!,,,
oh aa,noun,crow,corbeau,อีกา,,ອີກາ,,quạ,乌鸦,wūyā,wu1 aa1,,,,,,,,Literary,,
oih,noun,pot belly,ventre bedonnant,พุงพลุ้ย,,ພຸງພຸ້ຍ,,bụng phệ,大肚子,dàdùzi,daai6 tou5 zi2,,,,,,,,Slang,,
oix,verb,to like,aimer,ชอบ,,ມັກ,,thích,喜欢,xǐhuān,hei2 fun1,,,,,,,,,,
oix,verb,to like to,aimer bien,ชอบที่จะ,,ມັກຈະ,,thích,喜欢做,xǐhuān zuò,hei2 fun1 zou6,,,,,,,,,,
oix,verb,to desire,désirer,ปรารถนา,,ປາດຖະໜາ,,mong muốn,渴望,kěwàng,hot3 mong6,,,,,,,,,,
oix,verb,will,volonté,ความตั้งใจ,,ຄວາມຕັ້ງໃຈ,,ý chí,意志,yìzhì,ji3 zi3,,,,,,,,,,
oix,verb,to want,vouloir,ต้องการ,,ຕ້ອງການ,,muốn,要/想,yào/xiǎng,jiu3/soeng2,,,,,,,,,,
oix,verb,to love,aimer,รัก,,ຮັກ,,yêu,愛,ài,oi3,,,,,,,,,,
oix,verb,would,voulait,จะ,,ຈະ,,sẽ,將,jiāng,zoeng1,,,,,,,,,,
oix,particle,be going to,aller (comme marqueur du temps futur),กำลังจะ,,ກຳລັງຈະ,,sắp,将要,jiāngyào,zoeng1 jiu3,,,,,,,,,,
oix benx,verb,to want to become,vouloir devenir,อยากเป็น,,ຢາກເປັນ,,muốn trở thành,想要成为,xiǎng yào chéng wéi,soeng2 jiu3 sing4 wai4,,,,,,,,,,
oix benx,verb,will become,deviendra,จะกลายเป็น,,ຈະກາຍເປັນ,,sẽ trở thành,将会成为,jiānghuì chéngwéi,zoeng1 wui5 sing4 wai4,,,,,,,,,,
oix dorng jaa,verb,to want to get married,vouloir se marier,อยากแต่งงาน,,ຢາກແຕ່ງງານ,,muốn kết hôn,想结婚,xiǎng jié hūn,soeng2 git3 fan1,,,,,,,,,,
oix haic,verb,to really like,vraiment aimer,ชอบมาก,,ມັກມາກ,,thật sự thích,真心ชอบ,zhēn xīn xiào,zan1 sam1 zoeng2,,,,,,,,,,
oix hiuv muonc,verb,to want to know all the details,vouloir connaître tous les détails,อยากรู้รายละเอียดทั้งหมด,,ຢາກຮູ້ລາຍລະອຽດ,,muốn biết tường tận,想知道细节,xiǎng zhī dào xì jié,soeng2 zi1 dou6 sai3 zit3,,,,,,,,,,
oix lamh (deix),adverb,almost,presque,เกือบจะ,,ເກືອບຈະ,,sắp như,差点,chàdiǎn,caa1 dim2,,,,,,,,,,
oix lamh (deix),adverb,approximately,approximativement,ประมาณ,,ປະມານ,,khoảng chừng,大约,dàyuē,daai6 joek3,,,,,,,,,,
oix mangc gaax,verb,to want to see if,vouloir voir si,อยากลองดูว่า,,ຢາກລອງເບິ່ງວ່າ,,muốn xem liệu,想看看是否,xiǎng kàn kan shì fǒu,soeng2 hon3 hon3 si6 fau2,,,,,,,,,,
oix zuqc,verb,have to,devoir,ต้อง,,ຕ້ອງ,,phải,必须,bì xū,bit1 seoi1,,,,,,,,,,
oix zuqc,verb,should,devoir / devrait,น่าจะ,,ນ່າຈະ,,có lẽ nên,该,gāi,goi1,,,,,,,,,,
oix zuqc,verb,ought to,devrait,ควรจะ,,ຄວນຈະ,,nên,应该,yīnggāi,jing1 goi1,,,,,,,,,,
oix zuqc,verb,must,devoir,ต้อง,,ຕ້ອງ,,phải,必须,bìxū,bit1 seoi1,,,,,,,,,,
oix zuqc doix,verb,must match up with,doit correspondre,ต้องตรงกับ,,ຕ້ອງກົງກັບ,,phải khớp với,必须匹配,bìxū pǐpèi,bit1 seoi1 pat1 pui3,,,,,,,,,,
om,adjective,thick with fog,épais de brouillard,หนากับหมอก (thick with fog),,ໜາກັບໝອກ (thick with fog),,đặc sương mù,浓雾弥漫的,nóngwù mímàn de,nung4 mou6 mei4 maan6 dik1,,,,,,,,,,
omx,noun,hematoma,chanvre,กัญชง,,ກັນຊົງ,,gai,大麻,dà má,daai6 maa4,,,,,,,,,,
omx,verb,to swell,enfler,บวม,,ບວມ,,sưng,肿,zhǒng,zung2,,,,,,,,,,
ong,adjective,exceptionally large,exceptionnellement grand,ใหญ่เป็นพิเศษ,,ໃຫຍ່ເປັນພິເສດ,,lớn bất thường,特别大,tè bié dà,dak6 bit6 daai6,,,,,,,,,,
ong,adjective,lump-like,en forme de bosse,เป็นก้อน,,ເປັນກ້ອນ,,dạng cục,块状,kuàizhuàng,faai3 zong6,,,,,,,,,,
ong,adjective,really big,vraiment grand,ใหญ่จริงๆ,,ໃຫຍ່ຈິງໆ,,thật sự lớn,真的很重,zhēnde hěn dà,zan1 dik1 han2 daai6,,,,,,,,,,
ong,noun,paternal grandfather,grand-père paternel,ปู่,,ປູ່,,ông nội,祖父,zǔfù,zou2 fu6,,,,,,,,,,
Ong,noun,Ong,Ong,อง,,ອົງ,,Ông,翁,wēng,jung1,The first part of a nickname of endearment for male baby somewhat round or large at birth.,Première partie d’un surnom affectueux pour bébé garçon potelé.,ส่วนแรกของชื่อเล่นสำหรับทารกชายตัวกลม,ສ່ວນທຳອິດຂອງຊື່ຫຼິ້ນເດັກຊາຍອ້ວນ,phần đầu biệt danh bé trai mũm mĩm,胖男婴爱称的首字,,,,
ong gux nyaanh,verb,designate payment to bride's grandparents,désigner paiement aux grands-parents de la mariée,กำหนดเงินให้ปู่ย่าตายายเจ้าสาว,,ກຳນົດເງິນໃຫ້ປູ່ຍ່າເຈົ້າສາວ,,chỉ định tiền cho ông bà cô dâu,指定给新娘祖父母的款项,zhǐdìng gěi xīnniáng zǔfùmǔ de kuǎnxiàng,zi2 ding6 kap1 san1 noeng4 zou2 fu6 mou5 dik1 fun2 hong6,,,,,,,,,,
Ong-Aiv,noun,Ong-ai,Ongue-ite,องไอ้,,ອົງໄອ້,,Ong-ải,翁伊特,wēngyītè,jung1 ji1 dak6,Nickname given to a short boy.,Surnom donné à un garçon de petite taille.,ชื่อเล่นที่มอบให้เด็กชายที่เตี้ย,ຊື່ຫຼິ້ນທີ່ຕັ້ງໃຫ້ເດັກຊາຍເຕ້ຍ,Biệt danh đặt cho một cậu bé thấp.,给矮个男孩起的昵称,,,,
ong-buoc,noun,father-in-law,beau-père,พ่อตา,,ພໍ່ຕາ,,bố vợ,岳父,yuè fù,ngok6 fu6,"Kinship term for a wife to refer to her father-in-law. She has to address him as father ""die."".",Terme de parenté utilisé par une femme pour désigner son beau-père.,คำเรียกญาติสำหรับภรรยาที่ใช้เรียกพ่อตา,ຄຳສັບກ່ຽວກັບຍາດຕິພີ່ນ້ອງສຳລັບເມຍເອີ້ນພໍ່ເຖົ້າ,Thuật ngữ thân tộc để vợ gọi bố chồng,妻子用于称呼公公的亲属称谓,,,,
ong-daa,noun,kinship term for father-in-law of man (wife's father),terme de parenté (beau-père),คำเรียกพ่อตา (สำหรับผู้ชาย),,ຄຳຮຽກພໍ່ຕາ (ສຳລັບຜູ້ຊາຍ),,thuật ngữ xưng hô bố vợ,男性对岳父的亲属称谓,nán xìng duì yuè fù de qīn shǔ chēng wèi,naam4 sing3 deoi3 ngok6 fu6 dik1 can1 suk6 cing1 wai6,,,,,,,,,,
ong-daa-laangh,noun,man and his son-in-law,homme et gendre,ชายกับลูกเขย,,ຊາຍກັບລູກເຂີຍ,,cha và con rể,翁婿,wēngxù,jung1 seoi6,,,,,,,,,,
Ong-Giv,noun,Ong-kee,Ongue-ki,องกี้,,ອົງກີ້,,Ong-kị,翁基,wēngjī,jung1 gei1,Nickname given to a skinny boy.,Surnom donné à un garçon maigre.,ชื่อเล่นที่มอบให้เด็กชายที่ผอม,ຊື່ຫຼິ້ນທີ່ຕັ້ງໃຫ້ເดັກຊາຍຈ່ອຍ,Biệt danh đặt cho một cậu bé gầy.,给瘦男孩起的昵称,,,,
ong-gux,noun,paternal grandparents,grands-parents paternels,ปู่ย่า,,ປູ່ຍ່າ,,ông bà nội,祖父母,zǔfùmǔ,zou2 fu6 mou5,,,,,,,,,,
Ong-Hanh,noun,Ong-han,Ong-han,องฮั่น,,ອົງຮັ່ນ,,Ông-hạn,翁汉,wēnghàn,jung1 hon3,Nickname for a child whose father died while his mother was pregnant.,Surnom pour un enfant dont le père est mort pendant la grossesse de sa mère.,ชื่อเล่นสำหรับเด็กที่พ่อเสียชีวิตขณะแม่ตั้งครรภ์,ຊື່ຫຼິ້ນສຳລັບເດັກທີ່ພໍ່ເສຍຊີວິດໃນຂະນະທີ່ແມ່ຖືພາ,Biệt danh cho đứa trẻ có cha qua đời khi mẹ đang mang thai,遗腹子的昵称,,,,
ong-henv,noun,vigorous old man,vieillard vigoureux,ชายชราแข็งแรง,,ຊາຍຊະລາແຂງແຮງ,,ông già khỏe,健壮老汉,jiànzhuàng lǎohàn,gin6 zong3 lou5 hon3,,,,,,,,,,
ong-jaaiv-mbouv,noun,old man with bent back,vieil homme voûté,ชายชราหลังค่อม,,ຊາຍເຖົ້າຫຼັງຄ່ອມ,,ông lão lưng còng,驼背老人,tuóbèi lǎorén,to4 bui3 lou5 jan4,,,,,,,,,,
Ong-Mbornh,noun,Ong-born,Ongue-borne,องบอน,,ອົງບອນ,,Ông-born,翁本,wēngběn,jung1 bun2,Nickname given to a chubby boy.,Surnom donné à un garçon potelé.,ชื่อเล่นที่มอบให้เด็กชายที่เจ้าเนื้อ,ຊື່ຫຼິ້ນທີ່ຕັ້ງໃຫ້ເດັກຊາຍຕຸ້ย,Biệt danh đặt cho một cậu bé mũm mĩm.,给胖乎乎男孩起的昵称,,,,
ong-piev,noun,title for important regional headman or subdistrict officer of large area,titre de chef régional important,ตำแหน่งหัวหน้าท้องถิ่นใหญ่,,ຕໍາແໜ່ງຫົວໜ້າເຂດ,,làm chức quan địa phương lớn,大区头目称号,dàqū tóumù chēnghào,daai6 keoi1 tau4 muk6 cing1 hou6,,,,,,,,,,
ong-taaix,noun,father's grandfather,arrière-grand-père,ปู่ทวด,,ປູ່ທວດ,,ông cố nội,太公,tài gōng,taai3 gung1,,,,,,,,,,
ong-taaix,noun,great-grandfather on one's father's side,arrière-grand-père paternel,ทวดฝ่ายพ่อ,,ທວດຝ່າຍພໍ່,,cụ nội,曾祖父,zēng zǔ fù,zang1 zou2 fu6,,,,,,,,,,
ong-taaix,noun,ancestors,ancêtres,บรรพชน,,ບັນພະຊົນ,,tổ tiên,祖先,zǔxiān,zou2 sin1,,,,,,,,,,
ong-taaix jaa-fin,noun,ancestor spirits,esprits ancestraux,ผีบรรพบุรุษ,,ຜີບັນພະບຸລຸດ,,linh hồn tổ tiên,祖灵,zǔlíng,zou2 ling4,,,,,,,,,,
ong-taaix mienv,noun,"ancestor spirits, particularly those who have been dead for some time",esprits anciens,ผีบรรพบุรุษเก่า,,ຜີເກົ່າ,,vong tổ lâu đời,远祖之灵,yuǎnzǔ zhī líng,jyun5 zou2 zi1 ling4,,,,,,,,,,
ong-taaix-ngaeqv,noun,original ancestors,ancêtres originels,บรรพบุรุษดั้งเดิม,,ບັນພະບຸລຸດດັ້ງເດີມ,,tổ tiên ban đầu,始祖,shǐzǔ,ci2 zou2,,,,,,,,,,
ong-taaix-ngaeqv,noun,great-great-grandfather,arrière-arrière-grand-père,เทียดชาย,,ເທຍດຊາຍ,,cụ cố ông,高祖父,gāo zǔ fù,gou1 zou2 fu6,,,,,,,,,,
Ong-Tortc,noun,Ong-tort,Ong-thot,องถอด,,ອົງຖອດ,,Ông-Thọt,翁托特,wēngtuōtè,jung1 tok3 dak6,"Nickname for short, chubby boy.",Surnom pour un garçon petit et potelé.,ชื่อเล่นสำหรับเด็กชายที่เตี้ยและเจ้าเนื้อ,ຊື່ຫຼິ້ນສຳລັບເດັກຊາຍທີ່ເຕ້ຍແລະຕຸ້ຍ,Biệt danh cho cậu bé thấp và mũm mĩm.,矮胖男孩的昵称,,,,
ongx,noun,jar,bocal,ขวดโหล,,ຂວດໂຫຼ,,lọ,罐子,guànzi,gun3 zi2,,,,,,,,,,
ongx-nzuih,noun,mouth of large earthen vessel,ouverture,ปากตุ่ม,,ປາກໄຫ,,miệng chum,罐口,guànkǒu,gun3 hau2,,,,,,,,,,
ong-yieh,noun,generic term for male ancestors who lived and died long ago,ancêtres masculins anciens,บรรพบุรุษชายโบราณ,,ບັນພະບຸລຸດຊາຍ,,tổ tiên nam,先祖,xiān zǔ,sin1 zou2,,,,,,,,,,
ong-zeiv,noun,generic term for unnamed older male,ancien masculin non nommé,ชายแก่ไม่ระบุชื่อ,,ຊາຍເຖົ້າບໍ່ມີຊື່,,ông già vô danh,老者,lǎo zhě,lou5 ze2,,,,,,,,,,
opv,verb,to compost,composter,ทำปุ๋ยหมัก,,ເຮັດປຸ່ຍຫມັກ,,ủ phân,堆肥,duīféi,deoi1 fei4,,,,,,,,,,
opv,verb,to go somewhere,aller quelque part,ไปที่ไหนสักแห่ง,,ໄປບ່ອນໃດບ່ອນໜຶ່ງ,,đi đâu đó,去某处,qù mǒuchù,heoi3 mau5 cyu3,,,,,,,,,,
opv,adjective,overcast and dark (as when about to storm),couvert et sombre,มืดครึ้ม,,ມືດຄຶ້ມ,,âm u,阴暗,yīn'àn,jam1 am3,,,,,,,,,,
opv,verb,to cook non-rice food by heating it with lid covered pan,cuisiner (hors riz),ทำกับข้าว,,ທຳກັບເຂົ້າ,,nấu đồ ăn thức nhắm,烹飪非米類食物,pēngrèn fēi mǐ lèi shíwù,pang1 jam6 fei1 mai5 leoi6 sik6 mat6,,,,,,,,,,
opv,adjective,"musty, moldy, mildewed, damp and unable to dry out",moisi et humide,อับชื้น,,ອັບຊື້ນ,,ẩm mốc,霉湿的,méishī de,mui4 sap1 dik1,,,,,,,,,,
opv daax opv,noun,stench,puanteur,กลิ่นเหม็นสาบ,,ກິ່ນເໝັນສາບ,,mùi hôi thối,恶臭,èchòu,ngok3 cau3,,,,,,,,,,
oqv,noun,house,foyer,เรือน,,ເຮືອນ,,ngôi nhà,房屋,fáng wū,fong4 uk1,,,,,,,,Literary,,
oqv,interjection,oh no,oh non,โอ้ ไม่,,ໂອ້ ບໍ່,,ôi không,哦不,ó bù,o4 bat1,,,,,,,,,,
oqv-guei,noun,turtle,tortue,เต่า,,ເຕົ່າ,,rùa,龜,guī,gwai1,,,,,,,,,,
oqv-guei,noun,tortoise,tortue,เต่า,,ເຕົ່າ,,rùa,乌龟,wūguī,wu1 gwai1,,,,,,,,,,
or,noun,concave cavity or hollowed out space,cavité concave,หลุมเว้า,,ຫຼຸມເວົ້າ,,hốc lõm,凹 cī,āoqiāng,aau1 hong1,,,,,,,,,,
or weix,noun,kind of herbal medicine used for stomach ache and flatulence,sorte de médecine herboristerie,ยาสมุนไพรชนิดหนึ่ง,,ຢາສະໝຸນໄພຊະນິດໜຶ່ງ,,loài thảo dược,一种草药,yī zhǒng cǎo yào,jat1 zung2 cou2 joek6,,,,,,,,,,
orkc-orkc nyei lov,verb,to retch,avoir des hauts-le-cœur,ขย้อน,,ຂະຍ້ອນ,,nôn ọe, retch/wǔ,ǒu/wǔ,au2/mou5,,,,,,,,,,
ormv,verb,to conceal,dissimuler,ปกปิด,,ປົກປິດ,,che giấu,隐藏,yǐncáng,jan2 cong4,,,,,,,ormv waac: to conceal the actual meaning,,,
ormv,verb,to make obscure,obscurcir,ทำให้คลุมเครือ,,ເຮັດໃຫ້ຄຸມເຄືອ,,làm mờ ám,弄模糊,nòng mó hu,lung6 mou4 wu4,,,,,,,,,,
ormv,verb,to hide,cacher,หมก,,ໝົກ,,vùi lấp,埋藏,mái cáng,maai4 cong4,,,,,,,,,,
ormx,verb,to set something in position for it used,mettre en position d’usage,จัดให้เข้าที่เพื่อใช้,,ຈັດໃຫ້ເຂົ້າທີ່ເພື່ອໃຊ້,,đặt vào vị trí để dùng,摆到使用位置,bǎi dào shǐyòng wèizhì,baai2 dou3 si2 jung6 wai6 zi3,,,,,,,,,,
ormx,adjective,dark,sombre,มืด,,ມືດ,,tối,黑暗,hēi'àn,hak1 am3,,,,,,,,Literary,,
ormx coux,noun,dark place,fille,ลูกสาว,,ລູກສາວ,,con gái,女儿,nǚ'ér,neoi5 ji4,,,,,,,,Literary,,
ormx muangh,verb,to become overcast and dark so the view is obscured,s'assombrir (ciel),มืดครึ้ม (ท้องฟ้า),,ມືດຄຶ້ມ (ທ້ອງຟ້າ),,trời trở âm u,天色變陰,tiānsè biàn yīn,tin1 sik1 bin3 jam1,,,,,,,,,,
ormx-hnyouv,verb,to disguise or mask one's disappointment or hurt feelings,cacher sa déception,กลบเกลื่อนความผิดหวัง,,ກົບບັງຄວາມເຈັບ,,che giấu thất vọng,强颜欢笑,qiángyán huānxiào,koeng4 ngaan4 fun1 siu3,,,,,,,,,,
orn,verb,to encourage,encourager,ส่งเสริม,,ສົ່ງເສີม,,động viên,促使,cùshǐ,cuk1 si2,,,,,,,,,,
orn,verb,to locate,localiser,หาที่ตั้ง,,ຫາທີ່ຕັ້ງ,,tìm vị trí,定位,dìng wèi,ding6 wai6,,,,,,,,,,
orn,verb,to place,placer,ตั้ง,,ຕັ້ງ,,để,放置,fàng zhì,fong3 zi3,,,,,,,,,,
orn,verb,to cheer up,remonter le moral,ปลอบโยน,,ປອບໂຍນ,,làm phấn chấn,激勵,jīlì,gik1 lai6,,,,,,,,,,
orn,verb,to appoint,nommer,แต่งตั้ง,,ແຕ່ງຕັ້ງ,,bổ nhiệm,任命,rènmìng,jam6 ming6,,,,,,,,,,
orn,verb,to have peace,avoir la paix,มีความสงบ,,ມີຄວາມສະຫງົບ,,có sự bình yên,有平安,yǒu píng ān,jau5 ping4 on1,,,,,,,,,,
orn,noun,saddle,selle,อาน,,ອານ,,yên ngựa,马鞍,mǎ'ān,maa5 on1,,,,,,,,,,
orn,verb,to comfort,réconforter,ปลอบใจ,,ປອບໃຈ,,an ủi,安慰,ānwèi,on1 wai3,,,,,,,,,,
orn,verb,to console,consoler,ปลอบประโลม,,ປອບປະໂລມ,,xoa dịu,慰問,wèiwèn,wai6 man6,,,,,,,,,,
orn,adjective,at peace,en paix,สงบ,,ສງບ,,hòa bình,和平的,hépíng dik1,wo4 ping4 dik1,,,,,,,,,,
orn daauh mienh,verb,to appoint village headman,nommer le chef du village,แต่งตั้งผู้ใหญ่บ้าน,,ແຕ່ງຕັ້ງຫົວໜ້າບ້ານ,,bổ nhiệm trưởng làng,任命村长,rènmìng cūnzhǎng,jam6 ming6 cyun1 zoeng2,,,,,,,,,,
orn hnyouv,verb,to console,consoler,ประโคม,,ປະໂຄມ,,dỗ dành,撫慰,fǔwèi,fu2 wai3,,,,,,,,,,
orn hnyouv,verb,to encourage,encourager,เร้าใจ,,ເລົ້າໃຈ,,thúc đẩy,勉勵,miǎnlì,min5 lai6,,,,,,,,,,
orn hnyouv,verb,to comfort,réconforter,ปลอบใจ,,ປອບໃຈ,,an ủi,安慰,ānwèi,on1 wai3,,,,,,,,,,
orn luangh,noun,ritual to restore and reconnect the life force,rituel de reconnexion,พิธีเชื่อมสัมพันธ์ชีวิต,,ພິທີເຊື່ອມສຳພັນຊີວິດ,,lễ phục hồi kết nối sự sống,续命仪式,xùmìng yíshì,zuk6 ming6 ji4 sik6,,,,,,,,,,
orn mienv,verb,to give the spirits permanent location at the household altar,installer les esprits au foyer,ตั้งผีประจำเรือน,,ຕັ້ງຜີເຮືອນ,,an vị thần linh,安置家神,ānzhì jiāshén,on1 zi3 gaa1 san4,,,,,,,,,,
orn zouv,noun,ceremony to restore peace to gravesite,rituel de paix (tombe),พิธีทำบุญสุสาน,,ພິທີທຳບຸນປ່າຊ້າ,,lễ tạ mộ,安墳仪式,ān fén yí shì,on1 fan4 ji4 sik6,,,,,,,,,,
orn-jei,verb,to take up one's residence,s'installer,ตั้งรกราก,,ຕັ້ງຮົກຮາກ,,định cư,定居,dìng jū,ding6 geoi1,,,,,,,,,,
orn-lorqc,noun,cheer,acclamer,โห่ร้อง,,ໂຫ່ຮ້ອງ,,cổ vũ,欢呼,huān hū,fun1 fu1,,,,,,,,,,
orn-lorqc,noun,rejoicing,réjouissance,ความยินดี,,ຄວາມຍິນດີ,,vui mừng,欢喜,huānxǐ,fun1 hei2,,,,,,,,,,
orn-lorqc,noun,happiness,félicité,ความผาสุก,,ຄວາມຜາສຸກ,,an lạc,喜悦,xǐ yuè,hei2 jyut6,,,,,,,,,,
orn-lorqc,noun,joy,joie,ความสุข,,ຄວາມສຸກ,,niềm vui,喜悦,xǐyuè,hei2 jyut6,,,,,,,,,,
orn-lorqc,adjective,happy,joyeux,ร่าเริง,,ຮ່າເຣີງ,,vui sướng,开心,kāi xīn,hoi1 sam1,,,,,,,,,,
orn-lorqc,adjective,blessed,béni,ได้รับพร,,ໄດ້ຮັບພອນ,,được ban phước,蒙福,méng fú,mung4 fuk1,,,,,,,,,,
Orn-Lorqc Huingx,noun,paradise,paradis,สวรรค์,,ສະຫວັນ,,thiên đường,天堂,tiāntáng,tin1 tong4,Christian use.,Usage chrétien.,การใช้ในคริสต์ศาสนา,ການໃຊ້ໃນຄຣິດສະຕຽນ,cách dùng trong Kitô giáo,基督教用法,,,,
orpv,verb,"to make contact with, lean against, or land on something above ground level using the chest or abdomen",entrer en contact avec,สัมผัส,,ສຳຜັດ,,tiếp xúc,接觸,jiē chù,zip3 cuk1,,,,,,,,,,
orpv zuqc,verb,to fall onto,tomber sur,ตกทับ,,ຕົກທັບ,,rơi trúng,落在...上,luò zài... shàng,lok6 zoi6... soeng6,,,,,,,,,,
orqc,particle,orq,orque,ออก,,ອອກ,,ọc,噩,è,ngok6,Particle forming a tag question that invites agreement or a positive response.,Particule formant une question à la fin d'une phrase invitant à l'accord ou à une réponse positive.,คำสร้อยที่สร้างคำถามท้ายประโยคเพื่อขอความเห็นพ้องหรือการตอบรับในเชิงบวก,ຄຳສ້ອຍທີ່ສ້າງຄຳຖາມທ້ายປະໂຫຍກເພື່ອຂໍຄວາມເຫັນພ້ອມ ຫຼື ການຕອບຮັບໃນທາງບວກ,Trợ từ tạo câu hỏi đuôi mời gọi sự đồng ý hoặc phản hồi tích cực,构成附加疑问句以征求同意或肯定回答的助词,,,,
orqv,adjective,wicked,méchant,ชั่วร้าย,,ຊົ່ວຮ້າຍ,,ác độc,邪恶,xié’è,ce4 ok3,,,,,,,,,,
orqv,noun,wickedness,méchanceté,ความชั่วร้าย,,ຄວາມຊົ່ວຮ້າຍ,,sự độc ác,邪恶,xié’è,ce4 ok3,,,,,,,,,,
orqv,adjective,sinister,sinistre,ร้ายกาจ,,ຮ້າຍກາດ,,độc ác,险恶的,xiǎn'è de,him2 ok3 dik1,,,,,,,,,,
orqv,adjective,malicious,malveillant,ใจร้าย,,ໃຈຮ້າຍ,,độc ác,恶毒,èdú,ngok6 duk6,,,,,,,,,,
orqv,particle,orqv,orque,ออ,,ອໍ,,ọ,屋,wū,uk1,"Particle used in questions to express surprise, indignation, amazement, or confusion, often asking—sometimes rhetorically—for an explanation.","Particule utilisée dans les questions pour exprimer la surprise, l'indignation, l'étonnement.",คำสร้อยที่ใช้ในคำถามเพื่อแสดงความประหลาดใจ ความไม่พอใจ หรือความทึ่ง,"ຄຳສ້ອຍທີ່ໃຊ້ໃນຄຳຖາມເພື່ອສະແດງຄວາມປະຫຼາດໃຈ, ຄວາມບໍ່ພໍໃຈ ຫຼື ຄວາມອັດສະຈັນ","Trợ từ dùng trong câu hỏi để biểu thị sự ngạc nhiên, phẫn nộ, kinh ngạc",用于疑问句中表示惊讶、愤慨或赞叹的语气词,,,,
orqv eix,noun,evil mind,esprit maléfique,จิตใจที่ชั่วร้าย,,ຈິດໃຈທີ່ຊົ່ວຮ້າຍ,,tâm địa độc ác,เนิ่น,niè,jip6,,,,,,,,,,
orqv eix,noun,malicious purpose,intention malveillante,เจตนาร้าย,,ເຈດຕະນາຮ້າຍ,,mục đích xấu,恶意目的,èyì mùdì,ngok6 ji3 muk6 dik6,,,,,,,,,,
